"Date","Description","Debit","Credit","Balance"
"-","Opening Balance","-","-","Rs 0.00 (Settled)"
"7 Jul 2025","Sale Invoice #1","Rs 500.00","-","Rs 500.00 (Receivable)"
"7 Jul 2025","Payment for Invoice #1","-","Rs 500.00","Rs 0.00 (Settled)"
"7 Jul 2025","Sale Invoice #2","Rs 250.00","-","Rs 250.00 (Receivable)"
"7 Jul 2025","Payment for Invoice #2","-","Rs 100.00","Rs 150.00 (Receivable)"
"7 Jul 2025","new","-","Rs 150.00","Rs 0.00 (Settled)"
"7 Jul 2025","Sale Invoice #3","Rs 750.00","-","Rs 750.00 (Receivable)"
"7 Jul 2025","Payment for Invoice #3","-","Rs 750.00","Rs 0.00 (Settled)"
"7 Jul 2025","Sale Invoice #4","Rs 250.00","-","Rs 250.00 (Receivable)"
"7 Jul 2025","Payment for Invoice #4","-","Rs 100.00","Rs 150.00 (Receivable)"
"7 Jul 2025","new","-","Rs 150.00","Rs 0.00 (Settled)"
